,cost time,FPS,1,2,3,4,5,coordinate,len
217.png,0.007597923278808594,131,person,person,,,,"[[26, 92, 417, 1029], [947, 588, 1185, 989]]",2
218.png,0.008085250854492188,123,person,person,person,,,"[[8, 163, 353, 961], [769, 525, 1033, 1011], [1372, 113, 1821, 1011]]",3
219.png,0.007123470306396484,140,person,person,person,,,"[[24, 157, 412, 984], [705, 572, 1019, 1006], [1548, 76, 1909, 1011]]",3
220.png,0.008274078369140625,120,person,person,person,,,"[[19, 158, 410, 984], [709, 582, 1017, 1010], [1541, 82, 1911, 1007]]",3
221.png,0.008307933807373047,120,person,person,person,,,"[[14, 158, 399, 979], [712, 583, 1014, 1009], [1539, 94, 1910, 997]]",3
222.png,0.0073244571685791016,136,person,person,person,,,"[[17, 153, 402, 987], [709, 584, 1015, 1009], [1534, 87, 1913, 993]]",3
223.png,0.008047342300415039,124,person,person,person,,,"[[10, 168, 410, 971], [707, 569, 997, 987], [1506, 25, 1919, 945]]",3
224.png,0.008127450942993164,123,person,person,person,,,"[[11, 163, 398, 977], [680, 469, 1033, 981], [1212, 196, 1913, 1042]]",3
225.png,0.008003473281860352,124,person,person,person,,,"[[8, 162, 395, 978], [687, 471, 1008, 980], [1193, 208, 1916, 1039]]",3
226.png,0.007978200912475586,125,chair,person,person,person,,"[[1252, 355, 1885, 1035], [14, 156, 394, 986], [699, 459, 978, 993], [1241, 203, 1891, 1040]]",4
227.png,0.008207559585571289,121,chair,person,person,person,,"[[1262, 345, 1880, 1049], [7, 149, 384, 990], [1235, 204, 1901, 1036], [700, 440, 995, 1016]]",4
228.png,0.00808572769165039,123,person,person,person,,,"[[13, 150, 381, 986], [1247, 207, 1900, 1034], [712, 454, 990, 1012]]",3
229.png,0.007992267608642578,125,person,person,person,,,"[[13, 148, 390, 984], [1230, 209, 1902, 1034], [706, 545, 983, 992]]",3
230.png,0.007997989654541016,125,person,person,person,,,"[[12, 159, 385, 980], [1228, 97, 1912, 995], [706, 548, 993, 997]]",3
231.png,0.008085012435913086,123,person,person,person,,,"[[20, 195, 386, 1021], [1235, 101, 1904, 985], [709, 548, 995, 999]]",3
232.png,0.008027076721191406,124,person,person,person,,,"[[21, 203, 377, 1014], [1214, 107, 1910, 979], [708, 561, 991, 994]]",3
233.png,0.008115053176879883,123,person,person,person,,,"[[21, 203, 377, 1014], [1214, 107, 1910, 979], [708, 561, 991, 994]]",3
